"postcode","pc_name","pc_type","pa_name","pa_fips","city_town","county","area_sqmi","shape_area","shape_len","zip3"
"02632","CENTERVILLE","NON UNIQUE","CENTERVILLE","12085","BARNSTABLE","Barnstable","8.754398","22674171.3019","35722.9113411","026"
"02630","BARNSTABLE","NON UNIQUE","BARNSTABLE","03600","BARNSTABLE","Barnstable","3.730332","9661560.92474","32833.963573","026"
"01607","WORCESTER","NON UNIQUE","WORCESTER","82000","WORCESTER","Worcester","2.593123","6715678.69037","15448.7730722","016"
"01969","ROWLEY","NON UNIQUE","ROWLEY","58370","ROWLEY, TOWN OF","Essex","19.994494","51786078.4528","44581.6745708","019"
"01571","DUDLEY","NON UNIQUE","DUDLEY","17650","DUDLEY, TOWN OF","Worcester","21.914681","56755080.0746","34086.2216333","015"
"01562","SPENCER","NON UNIQUE","SPENCER","66070","SPENCER, TOWN OF","Worcester","33.987566","88021198.3727","40920.1589601","015"
"01863","NORTH CHELMSFORD","NON UNIQUE","NORTH CHELMSFORD","47310","CHELMSFORD, TOWN OF","Middlesex","5.464545","14152904.0061","21033.3122454","018"
"02537","EAST SANDWICH","NON UNIQUE","EAST SANDWICH","20380","SANDWICH, TOWN OF","Barnstable","12.643584","32746658.3669","48327.5178043","025"
"01226","DALTON","NON UNIQUE","DALTON","16215","DALTON, TOWN OF","Berkshire","21.910117","56744248.4263","38799.9693849","012"
"02667","WELLFLEET","NON UNIQUE","WELLFLEET","74350","WELLFLEET, TOWN OF","Barnstable","26.267262","68028484.9444","103268.207364","026"
"02777","SWANSEA","NON UNIQUE","SWANSEA","68715","SWANSEA, TOWN OF","Bristol","23.488883","60835158.7391","63270.5477277","027"
"02155","MEDFORD","NON UNIQUE","MEDFORD","39835","MEDFORD","Middlesex","8.760687","22688798.9204","30787.1171111","021"
"02338","HALIFAX","NON UNIQUE","HALIFAX","27760","HALIFAX, TOWN OF","Plymouth","16.70729","43269172.348","31929.2939656","023"
"02141","CAMBRIDGE","NON UNIQUE","CAMBRIDGE","11000","CAMBRIDGE","Middlesex","0.6934","1795784.06687","9311.03277269","021"
"01721","ASHLAND","NON UNIQUE","ASHLAND","02165","ASHLAND, TOWN OF","Middlesex","12.838878","33250200.9337","25780.2095161","017"
"01527","MILLBURY","NON UNIQUE","MILLBURY","41305","MILLBURY, TOWN OF","Worcester","16.445448","42590479.4691","32483.2599286","015"
"01535","NORTH BROOKFIELD","NON UNIQUE","NORTH BROOKFIELD","47100","NORTH BROOKFIELD, TOWN OF","Worcester","21.913048","56750571.0519","31227.0368235","015"
"02703","ATTLEBORO","NON UNIQUE","ATTLEBORO","02690","ATTLEBORO","Bristol","27.243543","70556978.4236","53614.5453665","027"
"02332","DUXBURY","NON UNIQUE","DUXBURY","17860","DUXBURY, TOWN OF","Plymouth","23.438359","60701181.7711","71025.7566268","023"
"02467","CHESTNUT HILL","NON UNIQUE","CHESTNUT HILL","13625","BOSTON","Suffolk","0.36631","948675.512902","5416.60548714","024"
"02465","WEST NEWTON","NON UNIQUE","WEST NEWTON","77185","NEWTON","Middlesex","2.504469","6486124.59741","19872.547203","024"
"01590","SUTTON","NON UNIQUE","SUTTON","68575","SUTTON, TOWN OF","Worcester","33.574545","86951594.5916","48391.2200776","015"
